Arm	[2, ['Body', 'Hand']]
Double	[10, ['Area', 'Eye', 'Job', 'Line', 'Money', 'Place', 'Point', 'Thing', 'Water', 'Way']]
PhysicalObject	[3, ['Area', 'Force', 'Thing']]
Property	[2, ['Kind', 'Thing']]
Anyuri	[4, ['Fact', 'Information', 'Moment', 'Part']]
Fact	[2, ['Fact', 'Information']]
Source	[5, ['Fact', 'Information', 'Power', 'Question', 'Water']]
Interval	[2, ['Minute', 'Time']]
TimeEvent	[2, ['Minute', 'Time']]
Individual	[2, ['Group', 'Power']]
Unit	[2, ['Area', 'Power']]
Interest	[2, ['Community', 'Friend']]
Leader	[2, ['Community', 'Government']]
Member	[5, ['Community', 'Government', 'Group', 'Member', 'Team']]
Role	[5, ['Community', 'Company', 'Group', 'Office', 'Team']]
Agent	[6, ['Change', 'Force', 'Idea', 'Result', 'Right', 'War']]
Cause	[3, ['Change', 'Problem', 'War']]
Change	[2, ['Change', 'Force']]
Impact	[2, ['Change', 'Problem']]
Medium	[2, ['Art', 'Information']]
Address	[6, ['Child', 'Company', 'Home', 'House', 'Person', 'Place']]
Area	[3, ['Area', 'House', 'World']]
House	[3, ['Home', 'House', 'World']]
Owner	[2, ['Business', 'House']]
Process	[3, ['End', 'Part', 'Result']]
Component	[3, ['Air', 'Part', 'System']]
Function	[3, ['Eye', 'Hand', 'System']]
OperatingSystem	[2, ['Program', 'System']]
Part	[2, ['Part', 'System']]
Position	[4, ['Government', 'Hand', 'Job', 'Work']]
Skin	[3, ['Face', 'Hand', 'Head']]
Point	[3, ['Line', 'Point', 'Way']]
Real	[2, ['Number', 'Point']]
Action	[4, ['Idea', 'Reason', 'Result', 'Right']]
Grade	[3, ['Education', 'Result', 'School']]
Adult	[3, ['Child', 'Girl', 'Kid']]
Education	[2, ['Education', 'Girl']]
Hobby	[3, ['Girl', 'Guy', 'Kid']]
Pet	[2, ['Girl', 'Kid']]
School	[6, ['Child', 'Education', 'Girl', 'Kid', 'School', 'Teacher']]
Toy	[2, ['Girl', 'Kid']]
Place	[10, ['Area', 'Back', 'Business', 'Door', 'Night', 'Person', 'Place', 'War', 'Way', 'World']]
PostalAddress	[2, ['Person', 'Place']]
Job	[4, ['Guy', 'Job', 'Man', 'Work']]
Eye	[3, ['Eye', 'Face', 'Head']]
Eyes	[2, ['Face', 'Head']]
Face	[2, ['Face', 'Head']]
Mouth	[2, ['Face', 'Head']]
Nose	[2, ['Face', 'Head']]
Mother	[3, ['Mother', 'Parent', 'Woman']]
Week	[2, ['Day', 'Week']]
Degree	[2, ['Education', 'Teacher']]
Reason	[2, ['Reason', 'War']]
Genre	[4, ['Art', 'Book', 'Game', 'Story']]
Gyear	[4, ['Book', 'Car', 'Company', 'Law']]
Publisher	[2, ['Book', 'Game']]
Number	[2, ['Month', 'Number']]
Weather	[2, ['Day', 'Night']]
WeatherCondition	[2, ['Day', 'Night']]
Game	[3, ['Game', 'Level', 'Team']]
Name	[3, ['Name', 'Team', 'Woman']]
Sport	[2, ['Kid', 'Team']]
Task	[3, ['Office', 'Team', 'Work']]
Category	[2, ['Part', 'Work']]
Company	[5, ['Business', 'Chair', 'Company', 'Job', 'Work']]
Employee	[4, ['Business', 'Company', 'Office', 'Work']]
Employer	[3, ['Business', 'Job', 'Work']]
JobPosting	[2, ['Job', 'Work']]
Salary	[2, ['Job', 'Work']]
Worker	[2, ['Office', 'Work']]
Period	[3, ['Art', 'History', 'Moment']]
Case	[2, ['Case', 'Law']]
Client	[3, ['Business', 'Case', 'Law']]
Description	[2, ['Case', 'History']]
Judge	[2, ['Case', 'Law']]
Lawyer	[2, ['Case', 'Law']]
Title	[2, ['Case', 'Job']]
XMLLiteral	[2, ['Case', 'Door']]
Jurisdiction	[2, ['Law', 'Right']]
Law	[3, ['Government', 'Law', 'Right']]
Legislation	[2, ['Government', 'Law']]
Rule	[2, ['Game', 'Law']]
Disease	[2, ['Eye', 'Health']]
Treatment	[2, ['Eye', 'Health']]
Direction	[3, ['Force', 'Line', 'Way']]
ChemicalElement	[2, ['Air', 'Water']]
Temperature	[3, ['Air', 'Night', 'Water']]
Developer	[2, ['Game', 'Program']]
Platform	[2, ['Game', 'Program']]
Department	[4, ['Business', 'Government', 'Office', 'School']]
Industry	[3, ['Business', 'Company', 'Job']]
Skill	[2, ['Job', 'Level']]
Creator	[2, ['Art', 'Idea']]
Father	[2, ['Father', 'Parent']]
Concept	[3, ['Idea', 'Man', 'Night']]
Age	[2, ['Kid', 'Woman']]
Daughter	[2, ['Father', 'Woman']]
PlainLiteral	[2, ['Company', 'Program']]
Engine	[2, ['Car', 'Part']]
Character	[2, ['History', 'Story']]
Chair	[2, ['Chair', 'Office']]
Manager	[2, ['Business', 'Office']]
